sample_id,file,token_count,llm_token_count,expected_count,llm_count,tp,fp,fn,precision,recall,match,ex_llm_count,ex_tp,ex_fp,ex_fn,ex_precision,ex_recall,ex_match
correction_report.json::sample_0,correction_report.json,79,79,7,7,5,2,2,0.7143,0.7143,0,11,6,5,1,0.5455,0.8571,0
correction_report.json::sample_1,correction_report.json,78,78,7,6,0,6,7,0.0,0.0,0,7,1,6,6,0.1429,0.1429,0
correction_report.json::sample_2,correction_report.json,92,93,11,41,2,39,9,0.0488,0.1818,0,13,3,10,8,0.2308,0.2727,0
correction_report.json::sample_3,correction_report.json,127,124,16,86,5,81,11,0.0581,0.3125,0,15,5,10,11,0.3333,0.3125,0
correction_report.json::sample_4,correction_report.json,130,133,14,7,1,6,13,0.1429,0.0714,0,18,3,15,11,0.1667,0.2143,0
correction_report.json::sample_5,correction_report.json,257,257,36,28,2,26,34,0.0714,0.0556,0,54,7,47,29,0.1296,0.1944,0
correction_report.json::sample_6,correction_report.json,260,256,33,17,10,7,23,0.5882,0.303,0,38,14,24,19,0.3684,0.4242,0
correction_report.json::sample_7,correction_report.json,378,379,57,18,5,13,52,0.2778,0.0877,0,72,29,43,28,0.4028,0.5088,0
correction_report.json::sample_8,correction_report.json,355,351,34,86,7,79,27,0.0814,0.2059,0,44,3,41,31,0.0682,0.0882,0
correction_report.json::sample_9,correction_report.json,571,569,56,5,1,4,55,0.2,0.0179,0,78,7,71,49,0.0897,0.125,0
correction_report.json::sample_10,correction_report.json,561,564,51,76,5,71,46,0.0658,0.098,0,72,14,58,37,0.1944,0.2745,0
