sample_id,file,token_count,llm_token_count,expected_count,llm_count,tp,fp,fn,precision,recall,match,ex_llm_count,ex_tp,ex_fp,ex_fn,ex_precision,ex_recall,ex_match
correction_report_topk_28-64.json::sample_0,correction_report_topk_28-64.json,79,22,7,7,3,4,4,0.4286,0.4286,0,3,2,1,5,0.6667,0.2857,0
correction_report_topk_28-64.json::sample_1,correction_report_topk_28-64.json,78,97,7,3,0,3,7,0.0,0.0,0,27,1,26,6,0.037,0.1429,0
correction_report_topk_28-64.json::sample_2,correction_report_topk_28-64.json,92,128,11,8,2,6,9,0.25,0.1818,0,49,3,46,8,0.0612,0.2727,0
correction_report_topk_28-64.json::sample_3,correction_report_topk_28-64.json,127,129,16,4,0,4,16,0.0,0.0,0,21,4,17,12,0.1905,0.25,0
correction_report_topk_28-64.json::sample_4,correction_report_topk_28-64.json,130,60,14,4,0,4,14,0.0,0.0,0,9,2,7,12,0.2222,0.1429,0
correction_report_topk_28-64.json::sample_5,correction_report_topk_28-64.json,257,258,36,4,0,4,36,0.0,0.0,0,52,8,44,28,0.1538,0.2222,0
correction_report_topk_28-64.json::sample_6,correction_report_topk_28-64.json,260,224,33,4,0,4,33,0.0,0.0,0,35,12,23,21,0.3429,0.3636,0
correction_report_topk_28-64.json::sample_7,correction_report_topk_28-64.json,378,201,57,17,1,16,56,0.0588,0.0175,0,77,17,60,40,0.2208,0.2982,0
correction_report_topk_28-64.json::sample_8,correction_report_topk_28-64.json,355,456,34,36,3,33,31,0.0833,0.0882,0,148,3,145,31,0.0203,0.0882,0
correction_report_topk_28-64.json::sample_9,correction_report_topk_28-64.json,571,569,56,4,0,4,56,0.0,0.0,0,95,7,88,49,0.0737,0.125,0
correction_report_topk_28-64.json::sample_10,correction_report_topk_28-64.json,561,271,51,4,0,4,51,0.0,0.0,0,36,5,31,46,0.1389,0.098,0
